id,name,status_name,type_name,agency_name,age,date_of_birth,date_of_death,nationality__nationality_name
797,Guangsu Li,Active,Government,China National Space Administration,38.0,1987-07-01,,
796,Cong Li,Active,Government,China National Space Administration,35.0,1989-10-01,,
103,Fei Junlong,Active,Government,China National Space Administration,60.0,1965-05-05,,
495,Daniel C. Burbank,Retired,Government,National Aeronautics and Space Administration,64.0,1961-07-27,,
782,Shengjie Tang,Active,Government,China National Space Administration,35.0,1989-12-01,,
783,Xinlin Jiang,Active,Government,China National Space Administration,37.0,1988-02-01,,
752,Zhang Lu,Active,Government,China National Space Administration,48.0,1976-11-01,,
665,Deng Qingming,Active,Government,China National Space Administration,59.0,1966-03-16,,
145,Warren Hoburg,Active,Government,National Aeronautics and Space Administration,39.0,1985-09-16,,
732,Andrei Fedyaev,Active,Government,Russian Federal Space Agency (ROSCOSMOS),44.0,1981-02-26,,
740,Sultan Al Neyadi,Active,Government,Mohammed bin Rashid Space Centre,44.0,1981-05-23,,
3,Tim Peake,Retired,Government,European Space Agency,53.0,1972-04-07,,
296,Zhai Zhigang,Active,Government,China National Space Administration,58.0,1966-10-10,,
647,Sergey Kud-Sverchkov,Active,Government,Russian Federal Space Agency (ROSCOSMOS),42.0,1983-08-23,,
270,Sergei Treshchov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),67.0,1958-08-18,,
179,Aleksandr Lazutkin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),67.0,1957-10-30,,
817,Lingdong Song,Active,Government,China National Space Administration,35.0,1990-08-01,,
818,Haozhe Wang,Active,Government,China National Space Administration,35.0,1990-03-01,,
447,Catherine Coleman,Retired,Government,National Aeronautics and Space Administration,64.0,1960-12-14,,
551,Karen Nyberg,Retired,Government,National Aeronautics and Space Administration,55.0,1969-10-07,,
66,Aleksandr Nikolayevich Balandin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),72.0,1953-07-30,,
223,Aleksandr Poleshchuk,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),71.0,1953-10-30,,
166,Yelena Kondakova,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),68.0,1957-03-30,,
536,Douglas H. Wheelock,Active,Government,National Aeronautics and Space Administration,65.0,1960-05-05,,
542,Ronald J. Garan Jr.,Retired,Government,National Aeronautics and Space Administration,63.0,1961-10-30,,
458,Andy Thomas,Retired,Government,National Aeronautics and Space Administration,73.0,1951-12-18,,
653,Matthias Maurer,Active,Government,European Space Agency,55.0,1970-03-18,,
576,Raja Chari,Active,Government,National Aeronautics and Space Administration,48.0,1977-06-24,,
574,Kayla Barron,Active,Government,National Aeronautics and Space Administration,37.0,1987-09-19,,
177,Aleksandr Laveykin,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),74.0,1951-04-21,,
293,Kimiya Yui,Active,Government,Japan Aerospace Exploration Agency,55.0,1970-01-30,,
785,Aleksandr Gorbunov,Active,Government,Russian Federal Space Agency (ROSCOSMOS),35.0,1990-05-24,,
