id,name,status_name,type_name,agency_name,age,date_of_birth,date_of_death,nationality
239,Aleksandr Samokutyayev,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),55,1970-03-13,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
559,Shannon Walker,Retired,Government,National Aeronautics and Space Administration,60,1965-06-04,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
113,Yuri Gidzenko,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),63,1962-03-26,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
635,Christina Koch,Active,Government,National Aeronautics and Space Administration,46,1979-01-29,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
207,Paolo Nespoli,Retired,Government,European Space Agency,68,1957-04-06,,"[{'id': 3, 'name': 'Italy', 'alpha_2_code': 'IT', 'alpha_3_code': 'ITA', 'nationality_name': 'Italian', 'nationality_name_composed': 'Italo'}]"
564,Kjell N. Lindgren,Active,Government,National Aeronautics and Space Administration,52,1973-01-23,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
194,Gennadi Manakov,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),69,1950-06-01,2019-09-26,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
60,Aleksandr Pavlovich Aleksandrov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),82,1943-02-20,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
560,Joseph M. Acaba,Active,Government,National Aeronautics and Space Administration,58,1967-05-17,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
237,Sergey Ryazansky,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),50,1974-11-13,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
565,Kathleen Rubins,Retired,Government,National Aeronautics and Space Administration,46,1978-10-14,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
453,Michael López-Alegría,Active,Private,Axiom Space,67,1958-05-30,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
684,Tang Hongbo,Active,Government,China National Space Administration,49,1975-10-01,,"[{'id': 6, 'name': 'China', 'alpha_2_code': 'CN', 'alpha_3_code': 'CHN', 'nationality_name': 'Chinese', 'nationality_name_composed': 'Sino'}]"
8,Andrew R. Morgan,Active,Government,National Aeronautics and Space Administration,49,1976-02-05,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
259,Gennadi Strekalov,Deceased,Government,Russian Federal Space Agency (ROSCOSMOS),64,1940-10-26,2004-12-25,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
214,Takuya Onishi,Active,Government,Japan Aerospace Exploration Agency,49,1975-12-22,,"[{'id': 28, 'name': 'Japan', 'alpha_2_code': 'JP', 'alpha_3_code': 'JPN', 'nationality_name': 'Japanese', 'nationality_name_composed': 'Nippo'}]"
242,Viktor Savinykh,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),85,1940-03-07,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
92,Vladimir Dezhurov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),63,1962-07-30,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
549,Timothy Kopra,Retired,Government,National Aeronautics and Space Administration,62,1963-04-09,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
63,Oleg Atkov,Retired,Government,Russian Federal Space Agency (ROSCOSMOS),76,1949-05-09,,"[{'id': 5, 'name': 'Russia', 'alpha_2_code': 'RU', 'alpha_3_code': 'RUS', 'nationality_name': 'Russian', 'nationality_name_composed': 'Russo'}]"
562,Jeanette J. Epps,Retired,Government,National Aeronautics and Space Administration,54,1970-11-03,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
577,Matthew Dominick,Active,Government,National Aeronautics and Space Administration,43,1981-12-07,,"[{'id': 2, 'name': 'United States of America', 'alpha_2_code': 'US', 'alpha_3_code': 'USA', 'nationality_name': 'American', 'nationality_name_composed': 'Americano'}]"
